word,definition,pos,target_code,trans_word,alt_def,wiki_link,example
것,A bound noun used to refer to a thing or fact that is not specified or determind by someone.,의존 명사,62835,something,A thing or an object,https://en.wiktionary.org/wiki/것,"
			이 안건이 통과되는 것에 반대하는 사람이 적어 표가 가에 몰릴 것으로 예상된다.
		"
하다,"To perform a certain move, action, activity, etc.",동사,73277,do; perform,To do,https://en.wiktionary.org/wiki/하다,"
			가를 장식하다.
		"
있다,For a person or animal to remain in a certain place without leaving or getting out of it.,동사,68796,be; stay,1. to be (in a place); to exist 2. to have,https://en.wiktionary.org/wiki/있다,"
			물가가 점점 오르고 있다.
		"
있다,For a person or animal to remain in a certain place without leaving or getting out of it.,동사,68796,be; stay,To be,https://en.wiktionary.org/wiki/있다,"
			물가가 점점 오르고 있다.
		"
되다,To have a new status or position.,동사,89858,become,"to become; (of a time) to come, to arrive",https://en.wiktionary.org/wiki/되다,"
			가격 인하가 되다.
		"
수,A set of numerals used for counting the number of countable things. ,명사,15617,number; figure,"way, method, means",https://en.wiktionary.org/wiki/수,"
			새로 지은 건물에는 '바로 입주 가'라고 써 있는 현수막이 걸려 있었다.
		"
하다,"To perform a certain move, action, activity, etc.",동사,73277,do; perform,To do,https://en.wiktionary.org/wiki/하다,"
			가를 장식하다.
		"
나,A pronoun used to indicate oneself to a friend or a younger person.,대명사,60931,I,I,https://en.wiktionary.org/wiki/나,"
			열다섯 살인데 이 영화를 볼 수 있나요?
		"
그,A pronoun used to indicate people who are not the speaker or listener.,대명사,62250,,"He, That",https://en.wiktionary.org/wiki/그,"
			그 드라마는 한국 사회의 현실을 가감 없이 드러냈다는 점에서 주목을 받았다.
		"
없다,(for a person or thing to be) Not existent in reality.,형용사,89917,non-existent,"Do not exist, absent",https://en.wiktionary.org/wiki/없다,"
			민준이는 공부를 잘해서 한 번도 가를 받은 적이 없다.
		"
않다,Not to do an action.,동사,17186,do not,To not do,https://en.wiktionary.org/wiki/않다,"
			이 가게는 가격 파괴라고 광고하지만 생각보다 가격이 많이 싼 것 같지 않다.
		"
사람,"A being that is capable of thinking, makes and uses languages and tools and lives by forming a society with others.",명사,58161,human; man,Person,https://en.wiktionary.org/wiki/사람,"
			이 안건이 통과되는 것에 반대하는 사람이 적어 표가 가에 몰릴 것으로 예상된다.
		"
우리,"A pronoun used when the speaker refers to himself/herself and the listener or listeners, or a group of people including the speaker and listener or listeners.",대명사,17182,we,"we, our",https://en.wiktionary.org/wiki/우리,"
			우리 카페는 동물 입장 가입니다.
		"
이,A part in the human or animal mouth that is used to bite something or chew food.,명사,69529,tooth,"A person, This",https://en.wiktionary.org/wiki/이,"
			이가
		"
그,A pronoun used to indicate people who are not the speaker or listener.,대명사,62250,,"He, That",https://en.wiktionary.org/wiki/그,"
			그 드라마는 한국 사회의 현실을 가감 없이 드러냈다는 점에서 주목을 받았다.
		"
아니다,Used to negate a fact or statement.,형용사,26878,not,To not be,https://en.wiktionary.org/wiki/아니다,"
			이것은 내가 어제 들었던 이야기가 아니다.
		"
보다,To perceive with eyes the existence or appearance of an object.,동사,61190,see; look at; notice,"To see, to watch, to look at",https://en.wiktionary.org/wiki/보다,"
			가게를 보다.
		"
등,The part that is opposite the chest and belly on the body of a human or animal.,명사,62455,back,rank,https://en.wiktionary.org/wiki/등,"
			가등기
		"
